"f_low"	"f_center"	"f_high"	"BW"
"1"	11	15.6	22.1	70.7
"2"	22.1	31.2	44.2	70.7
"3"	44.2	62.5	88.4	70.7
"4"	88.4	125	176.8	70.7
"5"	176.8	250	353.6	70.7
"6"	353.6	500	707.1	70.7
"7"	707.1	1000	1414.2	70.7
"8"	1414.2	2000	2828.4	70.7
"9"	2828.4	4000	5656.9	70.7
"10"	5656.9	8000	11313.7	70.7
"11"	11313.7	16000	22627.4	70.7
"12"	22627.4	32000	45254.8	70.7
